% group, behavior, feature, sample size, z-score
chrimson/+, Song, anglesub, 469,    8.93
chrimson/+, not Short_distance_Approach, absphidiff_anglesub, 2003,    8.93
npf>chrimson, Social_Clustering, angleonclosestfly, 5932,    8.92
npf>chrimson, Social_Clustering, closestfly_nose2ell_angle_min20to20, 5932,    8.91
chrimson/+, Chain_hadar, anglefrom1to2_anglesub, 1291,     8.9
npf/+, not Touch, x, 17512,    8.89
chrimson/+, Chain_hadar, closestfly_anglesub, 1291,    8.89
npf/+, Chase_hadar, angleonclosestfly, 7833,    8.87
npf>chrimson, Touch, danglesub, 16341,    8.86
npf/+, not Jump, absyaw, 1214,    8.85
npf/+, Grooming, anglefrom1to2_anglesub, 50245,    8.85
npf>chrimson, not Song, phi, 303,    8.83
npf/+, not Touch, timestamps, 17512,    8.82
chrimson/+, Chain_hadar, b, 1291,    8.81
npf>chrimson, Social_Clustering, closestfly_nose2ell_angle_min30to30, 5932,    8.81
npf/+, Chain_hadar, absthetadiff_anglesub, 1241,     8.8
chrimson/+, Chase_hadar, closestfly_nose2ell_angle_min20to20, 13799,    8.79
npf/+, not Short_distance_Approach, absyaw, 2605,    8.79
npf>chrimson, not Chain_hadar, danglesub, 1055,    8.79
npf/+, not Song, ecc, 450,    8.78
npf>chrimson, not Short_distance_Approach, b, 2509,    8.78
chrimson/+, not Social_Clustering, yaw, 7423,    8.77
npf>chrimson, Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2579,    8.76
npf>chrimson, not Stop, phi, 34301,    8.75
chrimson/+, Chase_hadar, closestfly_nose2ell_angle_min30to30, 13799,    8.75
npf>chrimson, not Social_Clustering, absyaw, 5862,    8.74
npf>chrimson, not Chase_hadar, closestfly_center, 10224,    8.74
chrimson/+, not Jump, velmag, 434,    8.73
npf>chrimson, not Stop, dphi, 34301,    8.72
npf/+, Song, a, 527,    8.71
chrimson/+, Social_Clustering, absphidiff_nose2ell, 7503,    8.71
chrimson/+, not Jump, absdtheta, 434,    8.71
npf>chrimson, not Long_Distance_Approach, angleonclosestfly, 10454,     8.7
npf/+, not Jump, du_tail, 1214,     8.7
npf>chrimson, Grooming, signdtheta, 47391,    8.69
npf>chrimson, Song, closestfly_nose2ell_angle_30tomin30, 371,    8.68
npf/+, Song, closestfly_nose2ell_angle_30tomin30, 527,    8.66
chrimson/+, not Jump, absphidiff_anglesub, 434,    8.66
chrimson/+, Long_Distance_Approach, yaw, 9843,    8.65
npf/+, not Jump, flipdv_cor, 1214,    8.64
npf/+, not Touch, absanglefrom1to2_nose2ell, 17512,    8.61
chrimson/+, not Jump, velmag_ctr, 434,     8.6
chrimson/+, Social_Clustering, angleonclosestfly, 7503,     8.6
npf/+, not Touch, arena_angle, 17512,    8.59
chrimson/+, not Jump, veltoward_anglesub, 434,    8.59
chrimson/+, not Stop, phi, 36019,    8.57
npf/+, not Social_Clustering, phi, 4627,    8.53
npf>chrimson, Chase_hadar, angleonclosestfly, 10294,    8.52
npf>chrimson, Touch, corfrac_min, 16341,    8.52
npf/+, Chase_hadar, angle2wall, 7833,    8.51
chrimson/+, Chain_hadar, absthetadiff_nose2ell, 1291,    8.49
npf/+, Chase_hadar, absanglefrom1to2_nose2ell, 7833,    8.47
npf>chrimson, Jump, closestfly_nose2ell_angle_min30to30, 956,    8.46
npf/+, not Chase_hadar, phisideways, 7753,    8.45
npf/+, Chain_hadar, anglefrom1to2_anglesub, 1241,    8.44
npf/+, not Long_Distance_Approach, closestfly_anglesub, 14142,    8.43
npf/+, not Chase_hadar, anglesub, 7753,    8.42
chrimson/+, Chain_hadar, absthetadiff_anglesub, 1291,    8.42
npf/+, not Short_distance_Approach, dnose2ell_angle_min30to30, 2605,     8.4
npf>chrimson, Short_distance_Approach, closestfly_ell2nose, 2579,     8.4
npf>chrimson, Chase_hadar, angle2wall, 10294,    8.39
chrimson/+, not Touch, timestamps, 16698,    8.39
npf/+, not Short_distance_Approach, dnose2ell_angle_min20to20, 2605,    8.38
npf>chrimson, Long_Distance_Approach, danglesub, 10524,    8.38
npf/+, Chain_hadar, absthetadiff_nose2ell, 1241,    8.38
npf>chrimson, Song, anglesub, 371,    8.37
chrimson/+, not Long_Distance_Approach, absthetadiff_anglesub, 9763,    8.36
chrimson/+, Short_distance_Approach, closestfly_ell2nose, 2083,    8.36
npf>chrimson, Social_Clustering, anglesub, 5932,    8.36
npf/+, not Jump, phisideways, 1214,    8.34
npf>chrimson, not Jump, a, 887,    8.34
npf>chrimson, not Chase_hadar, closestfly_nose2ell_angle_30tomin30, 10224,    8.33
chrimson/+, Social_Clustering, closestfly_nose2ell_angle_min20to20, 7503,    8.32
npf>chrimson, not Chase_hadar, closestfly_nose2tail, 10224,    8.32
npf>chrimson, Long_Distance_Approach, phisideways, 10524,    8.32
chrimson/+, not Jump, veltoward_nose2ell, 434,    8.32
npf/+, Stop, corfrac_maj, 35151,    8.31
npf>chrimson, Social_Clustering, absphidiff_nose2ell, 5932,    8.31
chrimson/+, not Chain_hadar, b, 1211,     8.3
chrimson/+, Jump, signdtheta, 510,    8.29
npf/+, Social_Clustering, absphidiff_nose2ell, 4707,    8.29
chrimson/+, not Jump, absphidiff_nose2ell, 434,    8.28
chrimson/+, Chase_hadar, angleonclosestfly, 13799,    8.26
chrimson/+, Jump, area, 510,    8.25
chrimson/+, Chain_hadar, anglefrom1to2_nose2ell, 1291,    8.25
npf/+, Social_Clustering, closestfly_nose2ell_angle_min30to30, 4707,    8.24
npf>chrimson, Social_Clustering, decc, 5932,    8.23
npf>chrimson, Song, closestfly_center, 371,    8.22
chrimson/+, Social_Clustering, ecc, 7503,    8.21
npf>chrimson, not Chase_hadar, closestfly_ell2nose, 10224,    8.21
npf/+, Social_Clustering, closestfly_nose2ell_angle_min20to20, 4707,     8.2
npf>chrimson, Chain_hadar, closestfly_anglesub, 1125,     8.2
npf>chrimson, Chain_hadar, absthetadiff_anglesub, 1125,    8.18
chrimson/+, Grooming, b, 56810,    8.18
npf/+, Chain_hadar, closestfly_anglesub, 1241,    8.17
npf/+, Jump, area, 1293,    8.17
chrimson/+, Song, closestfly_nose2ell_angle_30tomin30, 469,    8.16
npf>chrimson, Long_Distance_Approach, nflies_close, 10524,    8.15
chrimson/+, not Turn, absyaw, 115629,    8.15
chrimson/+, Social_Clustering, closestfly_nose2ell_angle_min30to30, 7503,    8.14
chrimson/+, not Social_Clustering, arena_angle, 7423,    8.13
npf/+, Touch, phisideways, 17592,    8.13
npf>chrimson, not Chase_hadar, closestfly_nose2ell, 10224,    8.12
npf/+, not Chain_hadar, dnose2tail, 1161,     8.1
chrimson/+, not Chain_hadar, absthetadiff_anglesub, 1211,     8.1
npf/+, not Chain_hadar, dcenter, 1161,    8.09
npf/+, Grooming, b, 50245,    8.08
npf/+, Long_Distance_Approach, yaw, 14222,    8.07
npf>chrimson, not Short_distance_Approach, danglesub, 2509,    8.06
npf/+, not Chain_hadar, dnose2ell, 1161,    8.05
npf/+, Jump, ecc, 1293,    8.05
chrimson/+, not Jump, velmag_tail, 434,    8.04
npf>chrimson, not Stop, phisideways, 34301,    8.04
chrimson/+, not Short_distance_Approach, dcenter, 2003,    8.03
npf/+, not Chain_hadar, dell2nose, 1161,    8.03
chrimson/+, not Short_distance_Approach, dnose2tail, 2003,    8.02
chrimson/+, Jump, anglefrom1to2_nose2ell, 510,    8.02
npf>chrimson, Grooming, phi, 47391,    8.01
chrimson/+, not Turn, yaw, 115629,       8
chrimson/+, not Jump, ecc, 434,    7.99
chrimson/+, not Short_distance_Approach, dnose2ell, 2003,    7.99
npf>chrimson, Jump, a, 956,    7.98
npf>chrimson, not Jump, absdv_cor, 887,    7.98
chrimson/+, not Short_distance_Approach, dell2nose, 2003,    7.97
npf/+, not Short_distance_Approach, ecc, 2605,    7.96
chrimson/+, not Long_Distance_Approach, nflies_close, 9763,    7.96
npf/+, Walk, phisideways, 28312,    7.95
npf/+, not Song, absyaw, 450,    7.95
chrimson/+, Grooming, phi, 56810,    7.94
npf>chrimson, not Social_Clustering, phi, 5862,    7.94
npf/+, Song, anglesub, 527,    7.93
chrimson/+, Song, closestfly_center, 469,    7.92
npf/+, not Chase_hadar, arena_r, 7753,    7.91
npf/+, not Chase_hadar, dist2wall, 7753,    7.91
npf>chrimson, Chase_hadar, theta, 10294,    7.91
npf>chrimson, Chase_hadar, theta_mm, 10294,    7.91
chrimson/+, Chase_hadar, absanglefrom1to2_nose2ell, 13799,    7.91
npf/+, not Touch, absthetadiff_nose2ell, 17512,    7.88
npf>chrimson, not Chase_hadar, theta, 10224,    7.88
npf>chrimson, not Chase_hadar, theta_mm, 10224,    7.88
npf>chrimson, Song, closestfly_nose2tail, 371,    7.88
chrimson/+, not Jump, dv_tail, 434,    7.87
npf/+, Song, closestfly_nose2ell, 527,    7.87
npf>chrimson, Song, closestfly_nose2ell, 371,    7.87
npf/+, not Walk, phisideways, 28232,    7.86
npf>chrimson, Chase_hadar, absanglefrom1to2_nose2ell, 10294,    7.86
npf/+, not Chase_hadar, nflies_close, 7753,    7.85
npf/+, not Chase_hadar, absanglefrom1to2_nose2ell, 7753,    7.85
chrimson/+, not Touch, x, 16698,    7.84
npf/+, Long_Distance_Approach, nflies_close, 14222,    7.83
npf>chrimson, Chain_hadar, b, 1125,    7.81
npf/+, Social_Clustering, decc, 4707,     7.8
npf>chrimson, not Touch, absanglefrom1to2_nose2ell, 16271,     7.8
chrimson/+, not Chase_hadar, absyaw, 13719,    7.79
npf/+, Chase_hadar, theta, 7833,    7.78
npf/+, Chase_hadar, theta_mm, 7833,    7.78
npf/+, Social_Clustering, signdtheta, 4707,    7.77
npf/+, Social_Clustering, anglesub, 4707,    7.77
npf/+, not Social_Clustering, closestfly_center, 4627,    7.77
chrimson/+, Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2083,    7.77
chrimson/+, Jump, absanglefrom1to2_nose2ell, 510,    7.76
npf>chrimson, Social_Clustering, signdtheta, 5932,    7.75
chrimson/+, Chase_hadar, angle2wall, 13799,    7.74
npf/+, Long_Distance_Approach, corfrac_min, 14222,    7.73
npf>chrimson, not Chase_hadar, anglesub, 10224,    7.72
npf>chrimson, Walk, phisideways, 27454,    7.72
npf/+, Grooming, absthetadiff_nose2ell, 50245,    7.72
npf/+, not Chain_hadar, danglesub, 1161,    7.72
npf/+, not Short_distance_Approach, danglesub, 2605,    7.72
npf>chrimson, not Chase_hadar, phisideways, 10224,    7.71
chrimson/+, Jump, y, 510,     7.7
npf>chrimson, Social_Clustering, ecc, 5932,     7.7
npf>chrimson, Chain_hadar, absthetadiff_nose2ell, 1125,     7.7
chrimson/+, Long_Distance_Approach, corfrac_min, 9843,     7.7
npf/+, Walk, angle2wall, 28312,     7.7
npf/+, not Song, absphidiff_nose2ell, 450,    7.69
chrimson/+, Social_Clustering, anglesub, 7503,    7.69
chrimson/+, Jump, corfrac_maj, 510,    7.68
npf/+, Song, closestfly_ell2nose, 527,    7.68
npf/+, not Jump, corfrac_min, 1214,    7.68
npf>chrimson, not Walk, phisideways, 27384,    7.67
npf>chrimson, not Chase_hadar, closestfly_nose2ell_angle_min30to30, 10224,    7.67
npf/+, Chain_hadar, anglefrom1to2_nose2ell, 1241,    7.67
npf/+, not Song, absphidiff_anglesub, 450,    7.67
npf>chrimson, not Jump, signdtheta, 887,    7.66
chrimson/+, not Chain_hadar, anglefrom1to2_nose2ell, 1211,    7.66
chrimson/+, Jump, closestfly_anglesub, 510,    7.61
npf/+, not Jump, magveldiff_nose2ell, 1214,    7.61
chrimson/+, not Jump, velmag_nose, 434,    7.61
npf>chrimson, not Long_Distance_Approach, absthetadiff_anglesub, 10454,    7.61
chrimson/+, not Touch, y, 16698,    7.59
npf/+, not Jump, magveldiff_anglesub, 1214,    7.58
npf/+, not Jump, signdtheta, 1214,    7.58
npf/+, not Chain_hadar, dnose2ell_angle_30tomin30, 1161,    7.58
chrimson/+, not Chase_hadar, dphi, 13719,    7.57
npf/+, Grooming, absthetadiff_anglesub, 50245,    7.56
npf/+, not Walk, phi, 28232,    7.56
npf>chrimson, Song, closestfly_ell2nose, 371,    7.55
npf>chrimson, not Jump, yaw, 887,    7.55
chrimson/+, Song, closestfly_ell2nose, 469,    7.55
npf/+, Chase_hadar, ecc, 7833,    7.53
npf/+, Social_Clustering, closestfly_nose2ell_angle_30tomin30, 4707,    7.53
npf>chrimson, not Chase_hadar, closestfly_nose2ell_angle_min20to20, 10224,    7.53
npf/+, Walk, theta, 28312,    7.52
npf/+, Walk, theta_mm, 28312,    7.52
npf/+, Turn, absthetadiff_nose2ell, 127105,    7.52
npf>chrimson, not Jump, absdtheta, 887,    7.52
chrimson/+, not Social_Clustering, absyaw, 7423,    7.52
npf>chrimson, not Jump, ecc, 887,    7.52
chrimson/+, not Short_distance_Approach, absyaw, 2003,    7.51
npf>chrimson, not Turn, phisideways, 100683,    7.49
npf>chrimson, not Short_distance_Approach, absyaw, 2509,    7.49
npf>chrimson, Chain_hadar, anglefrom1to2_nose2ell, 1125,    7.49
chrimson/+, Song, closestfly_nose2ell, 469,    7.49
npf>chrimson, Walk, phi, 27454,    7.48
npf/+, Jump, a_mm, 1293,    7.48
npf/+, Walk, phi, 28312,    7.48
npf>chrimson, Social_Clustering, closestfly_nose2ell_angle_30tomin30, 5932,    7.46
npf/+, Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2685,    7.45
npf/+, Turn, angleonclosestfly, 127105,    7.44
npf/+, not Stop, dphi, 35071,    7.43
npf/+, not Social_Clustering, closestfly_nose2tail, 4627,    7.42
chrimson/+, Long_Distance_Approach, absyaw, 9843,    7.42
npf>chrimson, Short_distance_Approach, closestfly_nose2ell, 2579,    7.41
npf>chrimson, Chain_hadar, anglefrom1to2_anglesub, 1125,    7.41
npf/+, Song, closestfly_nose2tail, 527,     7.4
npf>chrimson, not Short_distance_Approach, arena_r, 2509,     7.4
npf>chrimson, not Short_distance_Approach, dist2wall, 2509,     7.4
chrimson/+, Chase_hadar, theta, 13799,     7.4
chrimson/+, Chase_hadar, theta_mm, 13799,     7.4
npf>chrimson, Turn, angleonclosestfly, 100753,    7.38
npf>chrimson, not Jump, corfrac_min, 887,    7.38
chrimson/+, not Walk, phisideways, 26648,    7.36
npf>chrimson, not Jump, velmag, 887,    7.36
npf/+, not Touch, anglefrom1to2_nose2ell, 17512,    7.35
npf>chrimson, not Song, absphidiff_nose2ell, 303,    7.35
npf/+, Long_Distance_Approach, danglesub, 14222,    7.34
npf>chrimson, not Social_Clustering, y_mm, 5862,    7.34
npf>chrimson, Grooming, b, 47391,    7.33
chrimson/+, not Jump, du_cor, 434,    7.32
npf/+, not Social_Clustering, closestfly_nose2ell, 4627,    7.32
npf/+, Grooming, anglefrom1to2_nose2ell, 50245,    7.32
npf>chrimson, not Chase_hadar, angle2wall, 10224,    7.32
npf>chrimson, Long_Distance_Approach, yaw, 10524,    7.32
npf>chrimson, Turn, absthetadiff_nose2ell, 100753,    7.32
chrimson/+, not Long_Distance_Approach, y_mm, 9763,    7.32
npf>chrimson, not Jump, velmag_ctr, 887,    7.31
chrimson/+, not Long_Distance_Approach, x_mm, 9763,    7.31
npf/+, Song, nflies_close, 527,    7.31
npf>chrimson, not Chase_hadar, nflies_close, 10224,    7.31
chrimson/+, Social_Clustering, closestfly_nose2ell_angle_30tomin30, 7503,    7.31
npf/+, not Chase_hadar, absthetadiff_nose2ell, 7753,    7.31
chrimson/+, Stop, corfrac_maj, 36099,     7.3
chrimson/+, Social_Clustering, a, 7503,     7.3
npf/+, not Song, signdtheta, 450,    7.29
npf>chrimson, Grooming, absyaw, 47391,    7.29
npf>chrimson, not Walk, phi, 27384,    7.29
chrimson/+, Song, closestfly_nose2tail, 469,    7.28
npf/+, not Stop, anglefrom1to2_anglesub, 35071,    7.27
npf>chrimson, not Chase_hadar, corfrac_maj, 10224,    7.26
chrimson/+, Long_Distance_Approach, nflies_close, 9843,    7.25
chrimson/+, not Jump, danglesub, 434,    7.24
npf/+, Grooming, closestfly_anglesub, 50245,    7.23
npf>chrimson, not Chain_hadar, b, 1055,    7.23
npf>chrimson, Song, nflies_close, 371,    7.22
npf/+, Long_Distance_Approach, dphi, 14222,     7.2
npf/+, Turn, closestfly_anglesub, 127105,     7.2
chrimson/+, Jump, yaw, 510,    7.19
chrimson/+, not Short_distance_Approach, dnose2ell_angle_30tomin30, 2003,    7.18
npf>chrimson, Touch, phisideways, 16341,    7.18
npf>chrimson, not Jump, dphi, 887,    7.18
chrimson/+, not Long_Distance_Approach, ynose_mm, 9763,    7.18
chrimson/+, not Long_Distance_Approach, xnose_mm, 9763,    7.18
npf/+, Jump, anglefrom1to2_anglesub, 1293,    7.17
npf/+, not Social_Clustering, closestfly_ell2nose, 4627,    7.17
npf>chrimson, not Chain_hadar, arena_r, 1055,    7.17
npf>chrimson, not Chain_hadar, dist2wall, 1055,    7.17
chrimson/+, Walk, phisideways, 26728,    7.17
npf/+, not Long_Distance_Approach, y_mm, 14142,    7.16
npf/+, Grooming, absanglefrom1to2_nose2ell, 50245,    7.16
npf/+, Song, closestfly_center, 527,    7.16
chrimson/+, not Song, dnose2ell_angle_min20to20, 394,    7.16
chrimson/+, Walk, theta, 26728,    7.15
chrimson/+, Walk, theta_mm, 26728,    7.15
npf>chrimson, Short_distance_Approach, anglefrom1to2_anglesub, 2579,    7.15
npf>chrimson, Chase_hadar, ecc, 10294,    7.14
npf>chrimson, not Social_Clustering, ynose_mm, 5862,    7.14
npf>chrimson, Long_Distance_Approach, corfrac_min, 10524,    7.14
chrimson/+, Grooming, absyaw, 56810,    7.14
npf/+, Chain_hadar, absanglefrom1to2_nose2ell, 1241,    7.13
chrimson/+, not Walk, phi, 26648,    7.13
chrimson/+, not Chain_hadar, angleonclosestfly, 1211,    7.13
chrimson/+, Walk, angle2wall, 26728,    7.13
chrimson/+, not Song, dnose2ell_angle_min30to30, 394,    7.13
npf>chrimson, Short_distance_Approach, closestfly_nose2tail, 2579,    7.11
chrimson/+, not Turn, phi, 115629,     7.1
npf/+, not Long_Distance_Approach, x_mm, 14142,     7.1
npf/+, Social_Clustering, ecc, 4707,     7.1
npf/+, not Long_Distance_Approach, angleonclosestfly, 14142,     7.1
chrimson/+, Song, nflies_close, 469,    7.09
chrimson/+, Turn, angleonclosestfly, 115709,    7.09
npf>chrimson, not Chase_hadar, yaw, 10224,    7.09
npf/+, not Stop, phi, 35071,    7.09
chrimson/+, not Touch, absanglefrom1to2_nose2ell, 16698,    7.09
npf/+, not Long_Distance_Approach, ynose_mm, 14142,    7.08
npf>chrimson, Turn, closestfly_anglesub, 100753,    7.08
npf>chrimson, Turn, b, 100753,    7.08
npf/+, Turn, absthetadiff_anglesub, 127105,    7.08
chrimson/+, not Jump, dphi, 434,    7.06
npf>chrimson, not Jump, dv_cor, 887,    7.05
npf/+, not Turn, anglefrom1to2_anglesub, 127025,    7.05
npf>chrimson, Social_Clustering, closestfly_center, 5932,    7.04
npf/+, Social_Clustering, closestfly_center, 4707,    7.04
npf>chrimson, not Chase_hadar, absanglefrom1to2_nose2ell, 10224,    7.04
npf/+, not Long_Distance_Approach, xnose_mm, 14142,    7.03
npf/+, Turn, b, 127105,    7.03
chrimson/+, Jump, arena_r, 510,    7.02
chrimson/+, Jump, dist2wall, 510,    7.02
npf/+, not Jump, dphi, 1214,    7.01
chrimson/+, Long_Distance_Approach, dphi, 9843,    7.01
npf/+, not Social_Clustering, absphidiff_nose2ell, 4627,       7
npf/+, Grooming, phi, 50245,       7
npf>chrimson, not Short_distance_Approach, dnose2tail, 2509,       7
npf>chrimson, Social_Clustering, closestfly_nose2tail, 5932,    6.99
npf/+, Chain_hadar, angle2wall, 1241,    6.99
chrimson/+, Chase_hadar, ecc, 13799,    6.99
chrimson/+, Walk, phi, 26728,    6.97
npf>chrimson, not Short_distance_Approach, dnose2ell, 2509,    6.97
npf>chrimson, not Touch, absthetadiff_nose2ell, 16271,    6.96
npf>chrimson, not Short_distance_Approach, dcenter, 2509,    6.96
npf/+, not Walk, theta, 28232,    6.96
npf/+, not Walk, theta_mm, 28232,    6.96
npf/+, Social_Clustering, closestfly_nose2ell, 4707,    6.95
npf/+, Social_Clustering, closestfly_nose2tail, 4707,    6.94
npf>chrimson, not Song, absphidiff_anglesub, 303,    6.93
npf/+, Grooming, angle2wall, 50245,    6.93
chrimson/+, not Jump, du_ctr, 434,    6.92
npf>chrimson, not Short_distance_Approach, dell2nose, 2509,    6.92
npf>chrimson, not Jump, dtheta, 887,    6.91
chrimson/+, not Walk, angle2wall, 26648,    6.91
chrimson/+, Jump, x, 510,    6.91
npf/+, not Chase_hadar, corfrac_maj, 7753,     6.9
chrimson/+, Short_distance_Approach, closestfly_nose2ell, 2083,    6.89
npf/+, not Walk, angle2wall, 28232,    6.89
chrimson/+, not Walk, theta, 26648,    6.88
chrimson/+, not Walk, theta_mm, 26648,    6.88
chrimson/+, Chain_hadar, absanglefrom1to2_nose2ell, 1291,    6.87
chrimson/+, Touch, danglesub, 16778,    6.87
npf/+, Jump, danglesub, 1293,    6.87
npf>chrimson, not Song, corfrac_maj, 303,    6.86
chrimson/+, not Social_Clustering, phi, 7423,    6.85
npf>chrimson, Social_Clustering, closestfly_nose2ell, 5932,    6.85
npf>chrimson, Social_Clustering, a, 5932,    6.85
npf/+, Walk, anglefrom1to2_anglesub, 28312,    6.84
npf>chrimson, Turn, absthetadiff_anglesub, 100753,    6.84
npf>chrimson, not Walk, angle2wall, 27384,    6.84
chrimson/+, not Chain_hadar, yaw, 1211,    6.84
npf>chrimson, not Stop, corfrac_maj, 34301,    6.83
chrimson/+, not Chase_hadar, theta, 13719,    6.82
chrimson/+, not Chase_hadar, theta_mm, 13719,    6.82
chrimson/+, Grooming, anglefrom1to2_anglesub, 56810,    6.82
npf>chrimson, not Short_distance_Approach, signdtheta, 2509,     6.8
npf>chrimson, not Chase_hadar, absthetadiff_nose2ell, 10224,    6.79
npf/+, not Social_Clustering, closestfly_nose2ell_angle_30tomin30, 4627,    6.79
npf/+, Long_Distance_Approach, absyaw, 14222,    6.78
npf>chrimson, Social_Clustering, closestfly_ell2nose, 5932,    6.78
chrimson/+, Turn, closestfly_center, 115709,    6.77
chrimson/+, Social_Clustering, closestfly_center, 7503,    6.77
npf>chrimson, not Turn, absyaw, 100683,    6.76
npf/+, not Short_distance_Approach, yaw, 2605,    6.75
chrimson/+, Long_Distance_Approach, danglesub, 9843,    6.75
chrimson/+, Long_Distance_Approach, phi, 9843,    6.74
chrimson/+, not Chase_hadar, angle2wall, 13719,    6.74
npf>chrimson, Turn, closestfly_center, 100753,    6.74
chrimson/+, not Chain_hadar, danglesub, 1211,    6.74
npf/+, Stop, signdtheta, 35151,    6.73
npf>chrimson, Stop, corfrac_maj, 34371,    6.73
npf/+, Jump, dist2wall, 1293,    6.72
npf/+, Jump, arena_r, 1293,    6.72
chrimson/+, Stop, signdtheta, 36099,    6.71
npf/+, Walk, arena_angle, 28312,    6.71
npf>chrimson, not Social_Clustering, x_mm, 5862,     6.7
npf>chrimson, not Jump, velmag_tail, 887,     6.7
npf/+, Turn, closestfly_center, 127105,    6.69
npf>chrimson, not Jump, danglesub, 887,    6.68
npf/+, not Turn, phi, 127025,    6.68
chrimson/+, not Grooming, phisideways, 56730,    6.67
npf/+, Short_distance_Approach, anglefrom1to2_anglesub, 2685,    6.66
npf>chrimson, not Walk, anglefrom1to2_anglesub, 27384,    6.66
npf>chrimson, not Touch, anglefrom1to2_nose2ell, 16271,    6.65
npf/+, Long_Distance_Approach, phi, 14222,    6.65
chrimson/+, Social_Clustering, closestfly_nose2ell, 7503,    6.65
chrimson/+, not Short_distance_Approach, a, 2003,    6.64
chrimson/+, not Short_distance_Approach, corfrac_min, 2003,    6.64
npf>chrimson, not Chase_hadar, x_mm, 10224,    6.63
chrimson/+, Chain_hadar, closestfly_nose2ell_angle_min20to20, 1291,    6.63
npf/+, not Turn, absyaw, 127025,    6.63
npf/+, Chain_hadar, closestfly_nose2ell_angle_min20to20, 1241,    6.63
npf>chrimson, not Chase_hadar, y_mm, 10224,    6.63
npf/+, Turn, closestfly_nose2ell_angle_min20to20, 127105,    6.63
npf/+, Walk, y, 28312,    6.62
chrimson/+, not Chase_hadar, closestfly_nose2ell_angle_min30to30, 13719,    6.62
npf/+, not Chain_hadar, dnose2ell_angle_min20to20, 1161,    6.62
npf>chrimson, Chain_hadar, theta, 1125,    6.61
npf>chrimson, Chain_hadar, theta_mm, 1125,    6.61
chrimson/+, not Jump, du_tail, 434,    6.61
npf/+, not Chain_hadar, dnose2ell_angle_min30to30, 1161,    6.61
npf>chrimson, not Jump, dangle2wall, 887,    6.61
chrimson/+, Chain_hadar, closestfly_nose2ell_angle_min30to30, 1291,     6.6
npf/+, not Chase_hadar, yaw, 7753,     6.6
npf>chrimson, not Grooming, yaw, 47321,     6.6
npf/+, not Social_Clustering, absphidiff_anglesub, 4627,     6.6
npf/+, Turn, closestfly_nose2ell_angle_min30to30, 127105,    6.59
npf/+, Social_Clustering, closestfly_ell2nose, 4707,    6.59
chrimson/+, not Touch, arena_angle, 16698,    6.58
npf>chrimson, Turn, closestfly_nose2ell_angle_min30to30, 100753,    6.58
npf/+, not Chase_hadar, anglefrom1to2_anglesub, 7753,    6.58
npf/+, Chain_hadar, closestfly_nose2ell_angle_min30to30, 1241,    6.58
npf>chrimson, Turn, closestfly_nose2ell_angle_min20to20, 100753,    6.58
npf>chrimson, not Social_Clustering, absphidiff_nose2ell, 5862,    6.57
chrimson/+, Touch, absphidiff_nose2ell, 16778,    6.57
npf>chrimson, not Short_distance_Approach, a, 2509,    6.57
chrimson/+, Social_Clustering, closestfly_nose2tail, 7503,    6.54
npf/+, Chase_hadar, decc, 7833,    6.54
npf>chrimson, not Short_distance_Approach, phisideways, 2509,    6.54
chrimson/+, Turn, absthetadiff_nose2ell, 115709,    6.54
npf/+, Walk, x, 28312,    6.53
npf/+, Grooming, theta, 50245,    6.53
npf/+, Grooming, theta_mm, 50245,    6.53
npf>chrimson, not Turn, yaw, 100683,    6.52
npf>chrimson, not Social_Clustering, xnose_mm, 5862,    6.51
npf/+, Turn, absanglefrom1to2_nose2ell, 127105,    6.51
npf/+, Chase_hadar, closestfly_nose2tail, 7833,    6.51
npf>chrimson, not Chase_hadar, ynose_mm, 10224,    6.51
npf>chrimson, not Chase_hadar, xnose_mm, 10224,     6.5
npf>chrimson, Grooming, anglefrom1to2_anglesub, 47391,     6.5
chrimson/+, Grooming, absthetadiff_nose2ell, 56810,     6.5
chrimson/+, not Chase_hadar, closestfly_nose2ell_angle_min20to20, 13719,    6.49
npf>chrimson, not Walk, theta, 27384,    6.49
npf>chrimson, not Walk, theta_mm, 27384,    6.49
npf/+, Grooming, closestfly_nose2ell_angle_min30to30, 50245,    6.49
npf/+, Grooming, closestfly_nose2ell_angle_min20to20, 50245,    6.48
chrimson/+, Turn, closestfly_ell2nose, 115709,    6.47
npf/+, not Touch, theta, 17512,    6.47
npf/+, not Touch, theta_mm, 17512,    6.47
chrimson/+, Turn, closestfly_nose2ell, 115709,    6.47
npf>chrimson, Turn, closestfly_nose2ell_angle_30tomin30, 100753,    6.47
npf>chrimson, Turn, closestfly_ell2nose, 100753,    6.46
npf/+, not Chain_hadar, a, 1161,    6.45
chrimson/+, Turn, closestfly_nose2tail, 115709,    6.45
npf>chrimson, Song, absdtheta, 371,    6.44
chrimson/+, Chain_hadar, angle2wall, 1291,    6.44
npf/+, not Short_distance_Approach, corfrac_min, 2605,    6.43
chrimson/+, Turn, anglesub, 115709,    6.43
npf/+, Touch, absphidiff_nose2ell, 17592,    6.42
npf>chrimson, not Jump, dv_tail, 887,    6.42
npf/+, not Touch, nflies_close, 17512,    6.41
